categoria,total_reviews,rating_promedio,reseñas_negativas,porcentaje_negativo
diapers_and_hygiene,27,3.26,10,37.04
office_furniture,1263,3.49,440,34.84
home_comfort_2,23,3.63,7,30.43
fashion_male_clothing,111,3.64,37,33.33
fixed_telephony,214,3.68,67,31.31
party_supplies,39,3.77,10,25.64
fashio_female_clothing,39,3.78,9,23.08
furniture_mattress_and_upholstery,38,3.82,8,21.05
home_confort,395,3.83,88,22.28
audio,347,3.83,79,22.77
construction_tools_safety,166,3.84,39,23.49
bed_bath_table,9313,3.9,2112,22.68
furniture_decor,6398,3.9,1621,25.34
furniture_living_room,417,3.9,91,21.82
computers_accessories,6649,3.93,1461,21.97
